한칸,l_type,name,학점,교강사,time
,교양,군사학2(ROTC1년차),3,,"목17,18,19/금1,2,3,4,5,6,7,8"
,교양,군사학4(ROTC2년차),3,최호근,"목17,18,19/금11,12,13,14,15,16,17,18"
,교양,글로벌무역의이해,3,윤준모,"목11,12,13,14,15,16(인문409)"
,교양,글로벌사회의공공PR,2,방민석,"목7,8,9,10(인문101)"
,교양,글로벌핵심영어1(2차기간 공통수강),2,앤드류리차드,"화11,12,13,14(인문320)"
,교양,글로벌핵심영어1(2차기간 공통수강),2,그렉캐리,"화11,12,13,14(인문102)"
,교양,글로벌핵심영어1(2차기간 공통수강),2,카라마리,"화11,12,13,14(인문202)"
,교양,글로벌핵심영어1(2차기간 공통수강),2,쉐인케네디,"화11,12,13,14(인문203)"
,교양,글로벌핵심영어2(건축대학_초급),2,김정희,"수1,2,3,4(인문201)"
,교양,글로벌핵심영어2(공과대학_초급),2,이유진,"수1,2,3,4(상경401)"
,교양,글로벌핵심영어2(공과대학_초급),2,카라마리,"수1,2,3,4(상경417)"
,교양,글로벌핵심영어2(공과대학_초급),2,김정희,"수5,6,7,8(인문201)"
,교양,글로벌핵심영어2(공과대학_초급),2,조혜선,"수5,6,7,8(인문202)"
,교양,글로벌핵심영어2(문과대학_초급),2,조영상,"금11,12,13,14(상경417)"
,교양,글로벌핵심영어2(법과대학_초급),2,찰스코퍼랜드,"금11,12,13,14(인문202)"
,교양,글로벌핵심영어2(사범대학_초급),2,조혜선,"목11,12,13,14(인문320)"
,교양,글로벌핵심영어2(사회과학학대학_초급),2,조영상,"목11,12,13,14(사범312)"
,교양,글로벌핵심영어2(사회과학학대학_초급),2,이유진,"목11,12,13,14(사회304)"
,교양,글로벌핵심영어2(상경대학_초급),2,김경란,"월5,6,7,8(인문203)"
,교양,글로벌핵심영어2(상경대학_초급),2,김언조,"월5,6,7,8(인문320)"
,교양,글로벌핵심영어2(예술디자인대학_초급),2,카라마리,"수11,12,13,14(인문102)"
,교양,글로벌핵심영어2(예술디자인대학_초급),2,마크존스,"수11,12,13,14(인문201)"
,교양,글로벌핵심영어2(음악대학_초급),2,김언조,"수11,12,13,14(인문202)"
,교양,글로벌핵심영어2(음악대학_초급),2,매튜웨스트,"수11,12,13,14(상경418)"
,교양,글로벌핵심영어2(국제경영학전공),2,데이비드 칼리노스키,"수7,8,9,10(국제505)"
,교양,글로벌핵심영어2(모바일시스템전공),2,데이비드 칼리노스키,"수11,12,13,14(국제505)"
,교양,글로벌핵심영어2(마이스터경영(야간)),2,데릭벨,"목20,21(인문102)"
,교양,글로벌핵심영어2(외국인유학생전용),2,조영상,"월11,12,13,14(사회304)"
,교양,글로벌핵심영어2(외국인유학생전용),2,마크존스,"월11,12,13,14(인문102)"
,교양,글로벌핵심영어2(건축대학_중급),2,앤드류리차드,"수1,2,3,4(인문102)"
,교양,글로벌핵심영어2(건축대학_중급),2,쉐인케네디,"수1,2,3,4(상경507)"
,교양,글로벌핵심영어2(공과대학_중급),2,마크존스,"수1,2,3,4(3공518)"
,교양,글로벌핵심영어2(공과대학_중급),2,데이비드캐버나,"수1,2,3,4(인문203)"
,교양,글로벌핵심영어2(공과대학_중급),2,나탈리할레만스,"수1,2,3,4(인문320)"
,교양,글로벌핵심영어2(공과대학_중급),2,매튜웨스트,"수1,2,3,4(인문202)"
,교양,글로벌핵심영어2(공과대학_중급),2,데릭벨,"수1,2,3,4(국제307)"
,교양,글로벌핵심영어2(공과대학_중급),2,스튜어트존스,"수5,6,7,8(사회304)"
,교양,글로벌핵심영어2(공과대학_중급),2,카라마리,"수5,6,7,8(상경417)"
,교양,글로벌핵심영어2(공과대학_중급),2,쉐인케네디,"수5,6,7,8(상경507)"
,교양,글로벌핵심영어2(공과대학_중급),2,나탈리할레만스,"수5,6,7,8(인문320)"
,교양,글로벌핵심영어2(공과대학_중급),2,앤드류리차드,"수5,6,7,8(인문101)"
,교양,글로벌핵심영어2(공과대학_중급),2,데이비드캐버나,"수5,6,7,8(인문421)"
,교양,글로벌핵심영어2(공과대학_중급),2,매튜웨스트,"수5,6,7,8(상경418)"
,교양,글로벌핵심영어2(공과대학_중급),2,데릭벨,"수5,6,7,8(국제307)"
,교양,글로벌핵심영어2(공과대학_중급),2,마크존스,"수5,6,7,8(3공518)"
,교양,글로벌핵심영어2(공과대학_중급),2,김언조,"수5,6,7,8(인문203)"
,교양,글로벌핵심영어2(공과대학_중급),2,이유진,"수5,6,7,8(상경401)"
,교양,글로벌핵심영어2(문과대학_중급),2,앤드류리차드,"금11,12,13,14(인문201)"
,교양,글로벌핵심영어2(문과대학_중급),2,쉐인케네디,"금11,12,13,14(인문320)"
,교양,글로벌핵심영어2(문과대학_중급),2,나탈리할레만스,"금11,12,13,14(인문101)"
,교양,글로벌핵심영어2(문과대학_중급),2,데릭벨,"금11,12,13,14(인문203)"
,교양,글로벌핵심영어2(문과대학_중급),2,카라마리,"금11,12,13,14(인문102)"
,교양,글로벌핵심영어2(법과대학_중급),2,마크존스,"금11,12,13,14(상경401)"
,교양,글로벌핵심영어2(법과대학_중급),2,그렉캐리,"금11,12,13,14(인문421)"
,교양,글로벌핵심영어2(법과대학_중급),2,데이비드캐버나,"금11,12,13,14(상경418)"
,교양,글로벌핵심영어2(사범대학_중급),2,앤드류리차드,"목11,12,13,14(인문101)"
,교양,글로벌핵심영어2(사범대학_중급),2,스튜어트존스,"목11,12,13,14(인문421)"
,교양,글로벌핵심영어2(사범대학_중급),2,카라마리,"목11,12,13,14(상경418)"
,교양,글로벌핵심영어2(사범대학_중급),2,김경란,"목11,12,13,14(인문201)"
,교양,글로벌핵심영어2(사회과학대학_중급),2,김언조,"목11,12,13,14(인문102)"
,교양,글로벌핵심영어2(사회과학대학_중급),2,쉐인케네디,"목11,12,13,14(인문202)"
,교양,글로벌핵심영어2(사회과학대학_중급),2,마크존스,"목11,12,13,14(인문203)"
,교양,글로벌핵심영어2(사회과학대학_중급),2,나탈리할레만스,"목11,12,13,14(상경401)"
,교양,글로벌핵심영어2(사회과학대학_중급),2,데릭벨,"목11,12,13,14(상경417)"
,교양,글로벌핵심영어2(사회과학대학_중급),2,데이비드캐버나,"목11,12,13,14(상경507)"
,교양,글로벌핵심영어2(사회과학대학_중급),2,그렉캐리,"목11,12,13,14(상경309)"
,교양,글로벌핵심영어2(사회과학대학_중급),2,매튜웨스트,"목11,12,13,14(3공518)"
,교양,글로벌핵심영어2(상경대학_중급),2,김정희,"월5,6,7,8(사회304)"
,교양,글로벌핵심영어2(상경대학_중급),2,마크존스,"월5,6,7,8(인문102)"
,교양,글로벌핵심영어2(상경대학_중급),2,나탈리할레만스,"월5,6,7,8(인문201)"
,교양,글로벌핵심영어2(상경대학_중급),2,데릭벨,"월5,6,7,8(상경417)"
,교양,글로벌핵심영어2(상경대학_중급),2,데이비드캐버나,"월5,6,7,8(인문202)"
,교양,글로벌핵심영어2(상경대학_중급),2,그렉캐리,"월5,6,7,8(상경401)"
