한칸,l_type,교과목명,학점,교강사,요일/시간/(강의실)
,교양,"글로벌핵심영어2([외국어대학(영어 제외) 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,전수인,"화2,3,4,5(인523-02)"
,교양,"글로벌핵심영어2([외국어대학(영어 제외) 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,주미란,"화2,3,4,5(인420)"
,교양,"글로벌핵심영어2([외국어대학(영어 제외) 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,임희주,"화2,3,4,5(인517-01)"
,교양,"글로벌핵심영어2([외국어대학(영어 제외) 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,한도인,"화2,3,4,5(인529)"
,교양,"글로벌핵심영어2([공공인재대학(주간) 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,김의영,"화14,15,16,17(사회308)"
,교양,"글로벌핵심영어2([공공인재대학(주간) 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,리간틸든,"화14,15,16,17(사회410)"
,교양,"글로벌핵심영어2([공공인재대학(주간) 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,박은,"화14,15,16,17(사회316[서정우(강의실)])"
,교양,"글로벌핵심영어2([공공인재대학(주간) 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,배상희,"화14,15,16,17(사회420)"
,교양,"글로벌핵심영어2([공공인재대학(주간) 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,주미란,"화14,15,16,17(사회421)"
,교양,"글로벌핵심영어2([공공인재대학(주간) 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,임희주,"화14,15,16,17(사회315)"
,교양,"글로벌핵심영어2([공공인재대학(주간) 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,한도인,"화14,15,16,17(사회404)"
,교양,"글로벌핵심영어2([공공인재대학(주간) 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,허선영,"화14,15,16,17(사회405)"
,교양,"글로벌핵심영어2([공공관리학과(야간) 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,리간틸든,"화21,22(사회404)"
